Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gene (exp),instrument_name (run),Instrument,Library Name,library_strategy (exp),LibraryLayout,LibrarySelection,LibrarySource,material_type (exp),Organism,Platform,project (exp),project (run),region (run),ReleaseDate,run_barcode (run),run_name (run),Sample Name,screened (run),SRA Study,work_request (exp),work_request (run),geographic_location_(country_and/or_sea,region),gssr_id (exp),gssr_id (run),isolation_source,lsid (exp),lsid (run),sample_name,strain,Collection_Date,specific_host,sample_type (exp),gssr_ids (exp),gssr_ids (run)
SRR578290,AMPLICON,501,2945917,PRJNA82111,SAMN01737300,6862093,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190470,16S V3-V5 region,pop,454 GS FLX Titanium,99443815,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8240,G8240,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7295,yes,SRP015953,23468,23468,missing,71098.1,71098.1,missing,BROAD:SEQUENCING_SAMPLE:71098.1,BROAD:SEQUENCING_SAMPLE:71098.1,7295,missing,,,,,,
SRR578292,AMPLICON,593,3094982,PRJNA82111,SAMN01737302,6862565,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190474,16S V3-V5 region,pop,454 GS FLX Titanium,97797909,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G7994,G7994,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100062,yes,SRP015953,23264,23264,missing,68614.1,68614.1,missing,BROAD:SEQUENCING_SAMPLE:68614.1,BROAD:SEQUENCING_SAMPLE:68614.1,100062,missing,,,,,,
SRR578294,AMPLICON,591,3292784,PRJNA82111,SAMN01737303,7278111,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190477,16S V3-V5 region,pop,454 GS FLX Titanium,97797880,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8013,G8013,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100089,yes,SRP015953,23264,23264,missing,68633.1,68633.1,missing,BROAD:SEQUENCING_SAMPLE:68633.1,BROAD:SEQUENCING_SAMPLE:68633.1,100089,missing,,,,,,
SRR578295,AMPLICON,591,2999114,PRJNA82111,SAMN01737305,6652656,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190478,16S V3-V5 region,pop,454 GS FLX Titanium,97797883,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8016,G8016,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100092,yes,SRP015953,23264,23264,missing,68636.1,68636.1,missing,BROAD:SEQUENCING_SAMPLE:68636.1,BROAD:SEQUENCING_SAMPLE:68636.1,100092,missing,,,,,,
SRR578296,AMPLICON,565,5088,PRJNA82111,SAMN01737309,50437,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190482,16S V3-V5 region,pop,454 GS FLX Titanium,97797871,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8031,G8031,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100139,yes,SRP015953,23264,23264,missing,68651.1,68651.1,missing,BROAD:SEQUENCING_SAMPLE:68651.1,BROAD:SEQUENCING_SAMPLE:68651.1,100139,missing,,,,,,
SRR578297,AMPLICON,589,3207643,PRJNA82111,SAMN01737310,7128150,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190483,16S V3-V5 region,pop,454 GS FLX Titanium,97797868,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8034,G8034,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100143,yes,SRP015953,23264,23264,missing,68654.1,68654.1,missing,BROAD:SEQUENCING_SAMPLE:68654.1,BROAD:SEQUENCING_SAMPLE:68654.1,100143,missing,,,,,,
SRR578321,AMPLICON,561,3326710,PRJNA82111,SAMN01737301,7144946,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190473,16S V3-V5 region,pop,454 GS FLX Titanium,85246747,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G3198,G3198,1,2012-10-01T00:00:00Z,7.21452E+11,danasfridayRun721452,PRJNA82111.MGH101746,yes,SRP015953,21011,21011,missing,37091.1,37091.1,Colon,BROAD:SEQUENCING_SAMPLE:37091.1,BROAD:SEQUENCING_SAMPLE:37091.1,MGH101746,missing,18/12/07,Human,Colon,,,
SRR578322,AMPLICON,586,3028782,PRJNA82111,SAMN01737304,6725478,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190476,16S V3-V5 region,pop,454 GS FLX Titanium,97797891,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8011,G8011,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100087,yes,SRP015953,23264,23264,missing,68631.1,68631.1,missing,BROAD:SEQUENCING_SAMPLE:68631.1,BROAD:SEQUENCING_SAMPLE:68631.1,100087,missing,,,,,,
SRR578323,AMPLICON,591,3174347,PRJNA82111,SAMN01737306,7038022,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190479,16S V3-V5 region,pop,454 GS FLX Titanium,97797889,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8022,G8022,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100102,yes,SRP015953,23264,23264,missing,68642.1,68642.1,missing,BROAD:SEQUENCING_SAMPLE:68642.1,BROAD:SEQUENCING_SAMPLE:68642.1,100102,missing,,,,,,
SRR578324,AMPLICON,594,2762553,PRJNA82111,SAMN01737307,6111348,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190480,16S V3-V5 region,pop,454 GS FLX Titanium,97797877,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8025,G8025,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100106,yes,SRP015953,23264,23264,missing,68645.1,68645.1,missing,BROAD:SEQUENCING_SAMPLE:68645.1,BROAD:SEQUENCING_SAMPLE:68645.1,100106,missing,,,,,,
SRR578325,AMPLICON,594,3084738,PRJNA82111,SAMN01737308,6828168,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190481,16S V3-V5 region,pop,454 GS FLX Titanium,97797876,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8026,G8026,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100107,yes,SRP015953,23264,23264,missing,68646.1,68646.1,missing,BROAD:SEQUENCING_SAMPLE:68646.1,BROAD:SEQUENCING_SAMPLE:68646.1,100107,missing,,,,,,
SRR578326,AMPLICON,578,1390070,PRJNA82111,SAMN01737348,3106819,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190511,16S V3-V5 region,pop,454 GS FLX Titanium,99009281,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8132,G8132,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7175A,yes,SRP015953,23265,23265,missing,68752.1,68752.1,missing,BROAD:SEQUENCING_SAMPLE:68752.1,BROAD:SEQUENCING_SAMPLE:68752.1,7175A,missing,,,,,,
SRR578327,AMPLICON,588,3428573,PRJNA82111,SAMN01737344,7613357,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190502,16S V3-V5 region,pop,454 GS FLX Titanium,97797838,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8067,G8067,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100183,yes,SRP015953,23264,23264,missing,68687.1,68687.1,missing,BROAD:SEQUENCING_SAMPLE:68687.1,BROAD:SEQUENCING_SAMPLE:68687.1,100183,missing,,,,,,
SRR578328,AMPLICON,592,3245817,PRJNA82111,SAMN00709475,7195302,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190503,16S V3-V5 region,pop,454 GS FLX Titanium,97797860,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8041,G8041,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100155,yes,SRP015953,23264,23264,missing,68661.1,68661.1,missing,BROAD:SEQUENCING_SAMPLE:68661.1,BROAD:SEQUENCING_SAMPLE:68661.1,100155,missing,,,,,,
SRR578329,AMPLICON,424,512408,PRJNA82111,SAMN01737347,1309082,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190510,16S V3-V5 region,pop,454 GS FLX Titanium,99009272,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8148,G8148,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7385,yes,SRP015953,23265,23265,missing,68768.1,68768.1,missing,BROAD:SEQUENCING_SAMPLE:68768.1,BROAD:SEQUENCING_SAMPLE:68768.1,7385,missing,,,,,,
SRR578330,AMPLICON,593,2732460,PRJNA82111,SAMN00709476,6050847,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190506,16S V3-V5 region,pop,454 GS FLX Titanium,97797833,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8062,G8062,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100177,yes,SRP015953,23264,23264,missing,68682.1,68682.1,missing,BROAD:SEQUENCING_SAMPLE:68682.1,BROAD:SEQUENCING_SAMPLE:68682.1,100177,missing,,,,,,
SRR578331,AMPLICON,594,3221933,PRJNA82111,SAMN01737349,7111345,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190508,16S V3-V5 region,pop,454 GS FLX Titanium,99009415,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8075,G8075,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100195,yes,SRP015953,23265,23265,missing,68695.1,68695.1,missing,BROAD:SEQUENCING_SAMPLE:68695.1,BROAD:SEQUENCING_SAMPLE:68695.1,100195,missing,,,,,,
SRR578332,AMPLICON,597,3047973,PRJNA82111,SAMN01737346,6702635,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190509,16S V3-V5 region,pop,454 GS FLX Titanium,99009308,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8111,G8111,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7860,yes,SRP015953,23265,23265,missing,68731.1,68731.1,missing,BROAD:SEQUENCING_SAMPLE:68731.1,BROAD:SEQUENCING_SAMPLE:68731.1,7860,missing,,,,,,
SRR578333,AMPLICON,589,3187607,PRJNA82111,SAMN00709474,7059132,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190507,16S V3-V5 region,pop,454 GS FLX Titanium,97797858,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8039,G8039,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100151,yes,SRP015953,23264,23264,missing,68659.1,68659.1,missing,BROAD:SEQUENCING_SAMPLE:68659.1,BROAD:SEQUENCING_SAMPLE:68659.1,100151,missing,,,,,,
SRR578334,AMPLICON,585,3243428,PRJNA82111,SAMN01737345,7176889,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190504,16S V3-V5 region,pop,454 GS FLX Titanium,99009300,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8120,G8120,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7908,yes,SRP015953,23265,23265,missing,68740.1,68740.1,missing,BROAD:SEQUENCING_SAMPLE:68740.1,BROAD:SEQUENCING_SAMPLE:68740.1,7908,missing,,,,,,
SRR578335,AMPLICON,598,2575578,PRJNA82111,SAMN00709477,5688146,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190505,16S V3-V5 region,pop,454 GS FLX Titanium,97797837,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8066,G8066,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100182,yes,SRP015953,23264,23264,missing,68686.1,68686.1,missing,BROAD:SEQUENCING_SAMPLE:68686.1,BROAD:SEQUENCING_SAMPLE:68686.1,100182,missing,,,,,,
SRR578344,AMPLICON,446,3783126,PRJNA82111,SAMN01737416,9220179,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190543,16S V3-V5 region,pop,454 GS FLX Titanium,99443798,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8257,G8257,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7153,yes,SRP015953,23468,23468,missing,71115.1,71115.1,missing,BROAD:SEQUENCING_SAMPLE:71115.1,BROAD:SEQUENCING_SAMPLE:71115.1,7153,missing,,,,,,
SRR578345,AMPLICON,547,701733,PRJNA82111,SAMN01737412,1614401,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190707,16S V3-V5 region,pop,454 GS FLX Titanium,99009274,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8146,G8146,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7361,yes,SRP015953,23265,23265,missing,68766.1,68766.1,missing,BROAD:SEQUENCING_SAMPLE:68766.1,BROAD:SEQUENCING_SAMPLE:68766.1,7361,missing,,,,,,
SRR578346,AMPLICON,590,3007555,PRJNA82111,SAMN01737508,6641186,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190661,16S V3-V5 region,pop,454 GS FLX Titanium,99009301,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8119,G8119,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7906,yes,SRP015953,23265,23265,missing,68739.1,68739.1,missing,BROAD:SEQUENCING_SAMPLE:68739.1,BROAD:SEQUENCING_SAMPLE:68739.1,7906,missing,,,,,,
SRR578347,AMPLICON,587,2942952,PRJNA82111,SAMN01737478,6518901,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190604,16S V3-V5 region,pop,454 GS FLX Titanium,99009330,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8085,G8085,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100207,yes,SRP015953,23265,23265,missing,68705.1,68705.1,missing,BROAD:SEQUENCING_SAMPLE:68705.1,BROAD:SEQUENCING_SAMPLE:68705.1,100207,missing,,,,,,
SRR578348,AMPLICON,563,4400026,PRJNA82111,SAMN01737506,9403855,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190629,16S V3-V5 region,pop,454 GS FLX Titanium,85246740,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G3198,G3198,1,2012-10-01T00:00:00Z,7.21452E+11,danasfridayRun721452,PRJNA82111.MGH104169,yes,SRP015953,21011,21011,missing,37100.1,37100.1,Colon,BROAD:SEQUENCING_SAMPLE:37100.1,BROAD:SEQUENCING_SAMPLE:37100.1,MGH104169,missing,21/07/08,Human,Colon,,,
SRR578349,AMPLICON,489,879608,PRJNA82111,SAMN01737578,2101096,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190689,16S V3-V5 region,pop,454 GS FLX Titanium,99009277,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8143,G8143,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7355,yes,SRP015953,23265,23265,missing,68763.1,68763.1,missing,BROAD:SEQUENCING_SAMPLE:68763.1,BROAD:SEQUENCING_SAMPLE:68763.1,7355,missing,,,,,,
