Run,analysis_type (exp),analysis_type (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,flowcell_barcode (run),geo_loc_name_country,geo_loc_name_country_continent,GEOGRAPHIC_LOCATION,gssr_id (exp),gssr_id (run),instrument_name (run),Instrument,isolation_source,lane (run),Library Name,library_type (exp),library_type (run),LibraryLayout,LibrarySelection,LibrarySource,lsid (exp),lsid (run),material_type (exp),Organism,Platform,project (exp),project (run),read_group_id (run),ReleaseDate,root_sample_id (exp),root_sample_id (run),run_barcode (run),run_name (run),sample_id (exp),Sample_ID (run),Sample Name,sample_name,screened (run),specific_host,SRA Study,strain,work_request (exp),work_request (run)
SRR1910292,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,1514450,PRJNA269954,SAMN03400062,1049388,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951894,A117G,uncalculated,uncalculated,missing,195102,195102,SL-MAB,Illumina MiSeq,missing,1,Solexa-95791,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQPI,broadinstitute.org:bsp.prod.sample:2NQPI,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19695,G19695,A117G.1,2015-03-11T00:00:00Z,SM-2NQPI,SM-2NQPI,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQPI,SM-2NQPI,PRJNA269954.N00523,N00523,yes,missing,SRP056002,missing,30916,30916
SRR1910293,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,18947950,PRJNA269954,SAMN03400063,12266928,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951895,A117G,uncalculated,uncalculated,missing,195132,195132,SL-MAB,Illumina MiSeq,missing,1,Solexa-95790,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQQD,broadinstitute.org:bsp.prod.sample:2NQQD,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19725,G19725,A117G.1,2015-03-11T00:00:00Z,SM-2NQQD,SM-2NQQD,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQQD,SM-2NQQD,PRJNA269954.N00553,N00553,yes,missing,SRP056002,missing,30916,30916
SRR1910294,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,5461400,PRJNA269954,SAMN03400064,3581427,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951896,A117G,uncalculated,uncalculated,missing,195237,195237,SL-MAB,Illumina MiSeq,missing,1,Solexa-95780,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQOQ,broadinstitute.org:bsp.prod.sample:2NQOQ,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19828,G19828,A117G.1,2015-03-11T00:00:00Z,SM-2NQOQ,SM-2NQOQ,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQOQ,SM-2NQOQ,PRJNA269954.N00496,N00496,yes,missing,SRP056002,missing,30916,30916
SRR1910392,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,43927100,PRJNA269954,SAMN03400138,28458215,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951977,A117G,uncalculated,uncalculated,missing,195135,195135,SL-MAB,Illumina MiSeq,missing,1,Solexa-95795,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQQG,broadinstitute.org:bsp.prod.sample:2NQQG,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19728,G19728,A117G.1,2015-03-11T00:00:00Z,SM-2NQQG,SM-2NQQG,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQQG,SM-2NQQG,PRJNA269954.N00556,N00556,yes,missing,SRP056002,missing,30916,30916
SRR1910393,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,8271900,PRJNA269954,SAMN03400137,5376918,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951976,A117G,uncalculated,uncalculated,missing,195105,195105,SL-MAB,Illumina MiSeq,missing,1,Solexa-95834,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQPL,broadinstitute.org:bsp.prod.sample:2NQPL,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19698,G19698,A117G.1,2015-03-11T00:00:00Z,SM-2NQPL,SM-2NQPL,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQPL,SM-2NQPL,PRJNA269954.N00526,N00526,yes,missing,SRP056002,missing,30916,30916
SRR1910394,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,6777050,PRJNA269954,SAMN03400139,4407683,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951978,A117G,uncalculated,uncalculated,missing,195123,195123,SL-MAB,Illumina MiSeq,missing,1,Solexa-95793,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQQ4,broadinstitute.org:bsp.prod.sample:2NQQ4,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19716,G19716,A117G.1,2015-03-11T00:00:00Z,SM-2NQQ4,SM-2NQQ4,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQQ4,SM-2NQQ4,PRJNA269954.N00544,N00544,yes,missing,SRP056002,missing,30916,30916
SRR1910395,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,2589650,PRJNA269954,SAMN03400140,1761823,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951980,A117G,uncalculated,uncalculated,missing,195158,195158,SL-MAB,Illumina MiSeq,missing,1,Solexa-95703,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQME,broadinstitute.org:bsp.prod.sample:2NQME,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19749,G19749,A117G.1,2015-03-11T00:00:00Z,SM-2NQME,SM-2NQME,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQME,SM-2NQME,PRJNA269954.N00412,N00412,yes,missing,SRP056002,missing,30916,30916
SRR1910397,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,17148250,PRJNA269954,SAMN03400141,11171695,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951981,A117G,uncalculated,uncalculated,missing,195134,195134,SL-MAB,Illumina MiSeq,missing,1,Solexa-95827,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQQF,broadinstitute.org:bsp.prod.sample:2NQQF,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19727,G19727,A117G.1,2015-03-11T00:00:00Z,SM-2NQQF,SM-2NQQF,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQQF,SM-2NQQF,PRJNA269954.N00555,N00555,yes,missing,SRP056002,missing,30916,30916
SRR1915582,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,12204150,PRJNA269954,SAMN03396854,6785155,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956558,A11TC,uncalculated,uncalculated,missing,194900,194900,SL-MAG,Illumina MiSeq,missing,1,Solexa-110800,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJD4,broadinstitute.org:bsp.prod.sample:2QJD4,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19512,G19512,A11TC.1,2015-03-13T00:00:00Z,SM-2QJD4,SM-2QJD4,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJD4,SM-2QJD4,PRJNA269954.N00592,N00592,yes,missing,SRP056002,missing,32025,32025
SRR1915585,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,10514350,PRJNA269954,SAMN03396846,5842590,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956562,A11TC,uncalculated,uncalculated,missing,194975,194975,SL-MAG,Illumina MiSeq,missing,1,Solexa-110807,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJF9,broadinstitute.org:bsp.prod.sample:2QJF9,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19587,G19587,A11TC.1,2015-03-13T00:00:00Z,SM-2QJF9,SM-2QJF9,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJF9,SM-2QJF9,PRJNA269954.N00671,N00671,yes,missing,SRP056002,missing,32025,32025
