Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_ID,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR8056867,AMPLICON,350,96653550,PRJNA436359,SAMN10242187,Metagenome or environmental,64912956,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886530,USA,North America,USA,Homo sapiens,G96104_SubjectID_13099,Illumina MiSeq,G96104,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96104,SRP165757
SRR8056868,AMPLICON,350,60144000,PRJNA436359,SAMN10242718,Metagenome or environmental,40455045,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886529,USA,North America,USA,Homo sapiens,G96058_SubjectID_5560,Illumina MiSeq,G96058,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96058,SRP165757
SRR8056869,AMPLICON,350,130157300,PRJNA436359,SAMN10242717,Metagenome or environmental,88262910,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886528,USA,North America,USA,Homo sapiens,G96059_SubjectID_11052,Illumina MiSeq,G96059,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96059,SRP165757
SRR8056870,AMPLICON,350,17367000,PRJNA436359,SAMN10242197,Metagenome or environmental,11147427,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886527,USA,North America,USA,Homo sapiens,G94529_SubjectID_12997,Illumina MiSeq,G94529,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94529,SRP165757
SRR8056871,AMPLICON,350,28726600,PRJNA436359,SAMN10241858,Metagenome or environmental,18035319,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886526,USA,North America,USA,Homo sapiens,G94564_SubjectID_8821,Illumina MiSeq,G94564,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94564,SRP165757
SRR8056872,AMPLICON,350,27063050,PRJNA436359,SAMN10242369,Metagenome or environmental,15381628,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886525,USA,North America,USA,Homo sapiens,G75042_SubjectID_14486,Illumina MiSeq,G75042,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75042,SRP165757
SRR8056873,AMPLICON,350,93558150,PRJNA436359,SAMN10242370,Metagenome or environmental,63541934,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886524,USA,North America,USA,Homo sapiens,G96019_SubjectID_3647,Illumina MiSeq,G96019,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96019,SRP165757
SRR8056874,AMPLICON,350,90275850,PRJNA436359,SAMN10242371,Metagenome or environmental,60706664,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886523,USA,North America,USA,Homo sapiens,G96018_SubjectID_1360,Illumina MiSeq,G96018,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96018,SRP165757
SRR8056875,AMPLICON,350,2917950,PRJNA436359,SAMN10242372,Metagenome or environmental,2032452,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886522,USA,North America,USA,Homo sapiens,G96017_SubjectID_113,Illumina MiSeq,G96017,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96017,SRP165757
SRR8056876,AMPLICON,350,4040400,PRJNA436359,SAMN10242373,Metagenome or environmental,2788844,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886521,USA,North America,USA,Homo sapiens,G96016_SubjectID_10994,Illumina MiSeq,G96016,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96016,SRP165757
